SEMESTER,COURSE,COURSE TITLE,DESCRIPTION,SECTION,REQUIRED_SECTION,UNITS,DAY,BEGIN TIME,END TIME,BUILDING,ROOM,INSTRUCTORS,LOCATION,TEACHING MODALITY,MAX ENROLL,ACT ENROLL,WAITLIST SIZE,CONFIRM
F21,98000,Student Taught Courses (StuCo): Teaching Practicum (STUCO: TCHNG PRACTM),"All current StuCo instructors are enrolled in this course to receive credit for teaching their individual StuCo course(s). StuCo instructors are required to attend periodic meetings focused on course design and instructional strategies conducted by Dr. Hallinen or StuCo organizational meetings conducted by the StuCo Executive Committee in order to receive credit for this course. Please refer any StuCo-related issues regarding registration, application deadlines, co-instructors, room assignments, absences, no-shows, etc. to Kristin Lavery, StuCo Course Administrator, Cyert Hall A64A, 412-268-6819. Dr. Judith Hallinen serves as Advisor for StuCo.   Please Note: Kristin Lavery, StuCo Course Administrator must first be added as a proxy to a StuCo instructor's course before admission to 98000 will be granted. See StuCo website Teacher Information for more info.",A,,3 units,TBA,TBA,TBA,Does Not Meet,DNM,"Hallinen, J (jh4p)",PIT,IPE,75,0,0,C
,98012,Student Taught Courses (StuCo): Fun with Robots (STUCO: FUN WTH ROBTS),"In this course, students will learn the basics of programming, sensors, motors, and controls. Students will receive a Romi robot and program it using the Arduino IDE. Students will also build a basic breadboard circuit, understand standard hobby servo motors, and use real sensor data to navigate. The course lecture format will include instructional slides and teaching at the beginning of each lecture, along with a brief lecture on how what we do in class connects to ""real-world"" robotics. This is then followed by supervised programming time where the instructors will answer questions and advise students working on labs. There is a $20 lab fee.",A,,3 units,T,07:00PM,08:50PM,Wean Hall,5202,"Sodon, J (jsodon); Xiao, M (mmx)",PIT,IPE,20,0,0,C
,98025,Student Taught Courses (StuCo): Introduction to Roguelike Games (STUCO: ROGUELIKES),"Students will learn to play roguelike games and will be taught skills applicable across these games and about popular games in the archetype. The focus will be on games that are free and widely available, rather than those that are paid. Students will be exposed to over 50 different types of games. The goal is to make students adeptly play and possibly beat different roguelikes, both as a way to have fun and to train students' strategic thinking abilities.",A,,3 units,W,07:00PM,08:20PM,Wean Hall,5302,"Dulla, K (kdulla); McCoy, M (mwmccoy)",PIT,IPE,20,0,0,C
,98038,Student Taught Courses (StuCo): Anime From Astro Boy to Your Name (STUCO: ASTRO BOY),"Anime is a limited animation style which originates from post World War II Japan, developed alongside Japanese Consumer Media into an artistic movement, and can be considered one of modern Japan's major cultural exports. Through this course, we will be exploring the history of the development of Anime and Contemporary Japan, as well as examining how these came to affect Anime and Anime Culture in the present day. This course is open to anyone with interest in Japanese Media History and Culture and does not require prior knowledge on the subject.",A,,3 units,R,07:00PM,08:50PM,Doherty Hall,1209,"Eckert, R (reckert)",PIT,IPE,15,0,0,C
,98097,Student Taught Courses (StuCo): Intro to Character Design (Digital Art) (STUCO: CHAR DESIGN),"This is an introductory class to learn the basics of character design. You will learn the basic fundamentals of design theory and archetypes for design characters for games and film. The course concentrates on the core design fundamentals, such as silhouettes, poses, variations and more, to create memorable character/creatures for video game and film industry. Further building upon fundamental with rendering and drawing skills.",A,,3 units,R,07:00PM,07:50PM,Wean Hall,4623,"Zhang, Y (yonghaoz)",PIT,IPE,30,0,0,C
,98127,Student Taught Courses (StuCo): Game Creation for Ppl Who Want to Create Games (STUCO: GAME CREATION),"In this course students will learn the basics of game creation. The course is intended for both beginners and experienced game designers. Students will learn game design and production fundamentals. In addition to project work done in class, students will learn tools like Unity, Audacity, Blender, and Photoshop.",A,,3 units,W,07:00PM,08:50PM,Wean Hall,5202,"Carey, T (tcarey)",PIT,IPE,20,0,0,C
,98128,Student Taught Courses (StuCo): Fundamentals of Improv Comedy (STUCO: IMPROV COMEDY),"Through improv games and structured activities, students will learn the basic tenets of improvisational theater with a focus on both short and long form styles. These tenets will include the basic rules of improv, building base reality, listening, top of intelligence, finding and continuing game, and how to use support moves. No prior experience is necessary. Students will be expected to participate in group activities, discussions, and performances during class time. They may also be asked to watch performances or attend workshops outside of class. Students will have the opportunity to participate in an end-of-semester showcase with a live audience.",A,,3 units,W,08:00PM,09:50PM,Porter Hall,A18A,"Loghinov, I (iloghino); Cekirge, N (ecekirge)",PIT,IPE,20,0,0,C
,98163,Student Taught Courses (StuCo): Introduction to Tetris (STUCO: TSPIN),"Students taking this course will learn about finesse and efficient piece placement, how to create T-spin and combo setups for quick line clearing, and dominate both speed and versus versions of the classic game of Tetris.",A,,3 units,F,07:00PM,07:50PM,Wean Hall,5328,"Zeng, D (dlzeng)",PIT,IPE,20,0,0,C
,98166,Student Taught Courses (StuCo): Great Ideas in Practical Games Development (STUCO: PRAC GAME DEV),"This course intends to give a solid understanding into the process of art creation and programming involved in game development. This class is intended for both beginners and experienced game designers. In addition to project work done in class, students will learn fundamental tools like Unreal, Autodesk Maya, Substance Painter, and Photoshop. Additionally, they will learn to use source control and work as a team. Students will complete a game project under guidance, and gain insight into the steps involved in creating a game. There will be weekly lectures, intermittent optional and guest lectures. We'll use a Discord server as our primary means of communication. Prior experience is not needed!",A,,3 units,T,07:00PM,08:50PM,Wean Hall,5201,"Komar, M (mkomar); Zhang, Y (yunyizha)",PIT,IPE,25,0,0,C
,98186,Student Taught Courses (StuCo): Roller Coasters: Background and Design (STUCO: RLR CS HS DES),"Students will learn the fundamentals of how roller coasters are designed, the considerations that go into designing, basic physics used in roller coaster design, as well as the history of roller coasters. Students will be able to apply what they learn through the No Limits 2 software, a CAD based roller coaster designer and simulator. Lecture slides will go over the history of different roller coaster innovations and design principles, as well as real world examples and applications. This will be paired with labs where students can implement the learning from the lecture into designing roller coasters in No Limits 2. $20 fee will be used to purchase a copy of No Limits 2, a CAD software used widely to design and simulate roller coasters. This software is vital in applying the design concepts learned in lecture and seeing design choices in action.",A,,3 units,T,07:30PM,08:20PM,Porter Hall,A20A,"Peng, J (justinpe)",PIT,IPE,15,0,0,C
